d1,z1,d2,z2,d3,z3,d4,z4,d5,z5,d6,z6,d7,z7,d8,z8,d9,z9,d10,z10,d11,z11,d12,z12,d13,z13,d14,z14,d15,z15
67.1115098812435,269.630004882812,69.2128095985918,269.160003662109,71.876333964507,267.440002441406,71.2914572032097,268.350006103515,68.9557700864371,269.510009765625,66.6764532003141,270.779998779296,64.5713061398642,272.079986572265,62.853470656159,273.380004882812,61.0845320103458,274.670013427734,59.6033908680174,275.970001220703,58.3533684135961,275.970001220703,57.2555275871455,277.070007324218,56.2775704014819,277.730010986328,55.3189691725137,278.179992675781,54.3975354985196,278.179992675781
71.3059792488212,267.890014648437,73.5386101985038,267.470001220703,76.3686048372887,266.5,75.7471732784103,267.410003662109,73.2655057168394,268.320007324218,70.8437315253337,269.239990234375,68.6070127736057,270.320007324218,66.781812572169,271.600006103515,64.9023152609924,272.899993896484,63.3286027972685,274.190002441406,62.0004539394459,275.489990234375,60.8339980613421,276.700012207031,59.7949185515746,276.959991455078,58.7764047457958,276.959991455078,57.7973814671771,277.369995117187
75.500448616399,266.619995117187,77.8644107984158,266.529998779296,80.8608757100704,265.559997558593,80.2028893536109,266.470001220703,77.5752413472417,267.380004882812,75.0110098503533,268.290008544921,72.6427194073472,269.209991455078,70.7101544881789,271.130004882812,68.720098511639,271.130004882812,67.0538147265196,272.420013427734,65.6475394652956,273.709991455078,64.4124685355387,275.019989013671,63.3122667016672,276.109985351562,62.2338403190779,276.209991455078,61.1972274358346,276.559997558593
79.6949179839767,265.640014648437,82.1902113983278,265.579986572265,85.353146582852,264.579986572265,84.6586054288115,265.529998779296,81.884976977644,266.440002441406,79.178288175373,268.269989013671,76.6784260410887,269.179992675781,74.6384964041889,270.08999633789,72.5378817622856,271,70.7790266557707,271.940002441406,69.2946249911454,273.230010986328,67.9909390097354,274.579986572265,66.8296148517598,275.519989013671,65.69127589236,275.709991455078,64.5970734044921,275.709991455078
83.8893873515544,264.619995117187,86.5160119982398,264.600006103515,89.8454174556337,263.440002441406,89.1143215040121,264.570007324218,86.1947126080463,265.5,83.3455665003926,267.320007324218,80.7141326748302,268.239990234375,78.5668383201988,269.149993896484,76.3556650129322,270.059997558593,74.5042385850218,270.980010986328,72.9417105169951,271.890014648437,71.5694094839319,272.489990234375,70.3469630018524,273.350006103515,69.1487114656421,274.320007324218,67.9969193731496,275.119995117187
88.0838567191321,263.470001220703,90.8418125981518,263.450012207031,94.3376883284154,262.299987792968,93.5700375792127,263.429992675781,90.5044482384487,264.559997558593,87.5128448254122,266.380004882812,84.7498393085717,267.290008544921,82.4951802362087,268.209991455078,80.1734482635788,270.029998779296,78.2294505142729,270.950012207031,76.5887960428449,271.470001220703,75.1478799581285,271.980010986328,73.8643111519451,272.510009765625,72.6061470389242,273.220001220703,71.396765341807,274.059997558593
92.2783260867099,262.329986572265,95.1676131980638,262.309997558593,98.8299592011971,261.160003662109,98.0257536544133,262.290008544921,94.814183868851,264.529998779296,91.6801231504318,265.440002441406,88.7855459423132,266.350006103515,86.4235221522187,268.179992675781,83.9912315142254,269.08999633789,81.954662443524,269.940002441406,80.2358815686947,270.450012207031,78.7263504323251,270.959991455078,77.3816593020377,271.470001220703,76.0635826122064,271.940002441406,74.7966113104645,272.529998779296
96.4727954542876,261.190002441406,99.4934137979758,261.179992675781,103.322230073978,260.010009765625,102.481469729613,261.149993896484,99.1239194992533,263.410003662109,95.8474014754515,264.5,92.8212525760547,266.320007324218,90.3518640682286,267.239990234375,87.809014764872,268.149993896484,85.6798743727751,268.920013427734,83.8829670945444,269.940002441406,82.3048209065218,270.450012207031,80.8990074521303,270.950012207031,79.5210181854885,271.450012207031,78.196457279122,271.880004882812
100.667264821865,260.040008544921,103.819214397887,260.029998779296,107.81450094676,258.910003662109,106.937185804814,260,103.433655129655,262.269989013671,100.014679800471,263.399993896484,96.8569592097963,265.380004882812,94.2802059842386,266.299987792968,91.6267980155186,267.890014648437,89.4050863020262,268.399993896484,87.5300526203942,268.910003662109,85.8832913807183,269.420013427734,84.4163556022229,269.929992675781,82.9784537587706,270.950012207031,81.5963032477795,271.390014648437
104.861734189443,258.910003662109,108.145014997799,258.890014648437,112.306771819542,257.899993896484,111.392901880015,259.049987792968,107.743390760057,261.119995117187,104.18195812549,263.390014648437,100.892665843537,264.440002441406,98.2085479002485,266.269989013671,95.4445812661653,266.869995117187,93.1302982312773,267.380004882812,91.1771381462439,268.399993896484,89.4617618549149,268.910003662109,87.9337037523156,269.420013427734,86.4358893320527,269.929992675781,84.9961492164369,270.440002441406
109.05620355702,257.769989013671,112.470815597711,257.75,116.799042692323,257.029998779296,115.848617955215,258.179992675781,112.05312639046,260.200012207031,108.34923645051,262.25,104.928372477279,263.380004882812,102.136889816258,265.320007324218,99.2623645168119,265.850006103515,96.8555101605284,266.869995117187,94.8242236720937,267.380004882812,93.0402323291115,267.880004882812,91.4510519024082,268.899993896484,89.8933249053348,269.410003662109,88.3959951850944,269.920013427734
113.250672924598,256.630004882812,116.796616197623,256.890014648437,121.291313565105,256.160003662109,120.304334030416,257.320007324218,116.362862020862,259.33999633789,112.51651477553,261.350006103515,108.96407911102,263.369995117187,106.065231732268,264.309997558593,103.080147767458,265.329986572265,100.580722089779,265.83999633789,98.4713091979435,266.350006103515,96.6187028033082,267.369995117187,94.9684000525008,267.880004882812,93.3507604786169,268.899993896484,91.7958411537519,269.410003662109
117.445142292176,255.729995727539,121.122416797535,256.019989013671,125.783584437887,255.300003051757,124.760050105617,256.450012207031,120.672597651264,258.480010986328,116.683793100549,260.5,112.999785744762,262.519989013671,109.993573648278,263.350006103515,106.897931018105,264.329986572265,104.30593401903,264.820007324218,102.118394723793,265.83999633789,100.197173277504,266.350006103515,98.4857482025935,267.369995117187,96.808196051899,267.880004882812,95.1956871224094,268.390014648437
121.639611659753,254.779998779296,125.448217397447,255.160003662109,130.275855310669,254.429992675781,129.215766180817,255.610000610351,124.982333281667,257.640014648437,120.851071425569,259.660003662109,117.035492378503,261.510009765625,113.921915564288,263.130004882812,110.715714268751,263.510009765625,108.031145948281,264.359985351562,105.765480249643,264.859985351562,103.775643751701,265.850006103515,102.003096352686,266.33999633789,100.265631625181,267.359985351562,98.5955330910669,267.869995117187
